S.no,Filename,Start Time,End TIme,Size,Altitude,,upper_left_latitude,upper_left_longitude,upper_right_latitude,upper_right_longitude,lower_left_latitude,lower_left_longitude,lower_right_latitude,lower_right_longitude,projection,Area
1,ch2_tmc_ncf_20221121T0720438802_d_img_d32.zip,2022-11-21T07:20:43.880Z,2022-11-21T07:28:22.774Z,1136432000,101.35,View,-8.931772,53.630352,-8.93365,53.039075,6.846395,53.839573,6.85751,53.212716,Selenographic,Equatorial
2,ch2_tmc_nca_20210517T1111358628_d_img_d18.zip,2021-05-17T11:11:35.862Z,2021-05-17T11:21:31.949Z,1473640000,112.11,View,-7.707162,53.614902,-7.700702,53.086682,8.154181,53.824256,8.162017,53.260509,Selenographic,Equatorial
3,ch2_tmc_ncn_20211117T1110241429_d_img_d18.zip,2021-11-17T11:10:24.142Z,2021-11-17T11:20:33.811Z,1507216000,96.26,View,-6.482529,53.655556,-6.476417,53.074937,9.456141,53.868653,9.467919,53.24505,Selenographic,Equatorial
4,ch2_tmc_nca_20220605T0539347094_d_img_d32.zip,2022-06-05T05:39:34.709Z,2022-06-05T05:44:24.740Z,717008000,117.76,View,-1.502532,-125.898365,-1.508216,-125.353751,27.840479,-125.568207,27.832862,-124.937828,Selenographic,Equatorial
5,ch2_tmc_ncn_20200617T0115145094_d_img_d18.zip,2020-06-17T01:15:14.509Z,2020-06-17T01:26:01.638Z,1599824000,125.35,View,0.771915,-125.899438,0.758574,-125.354585,30.197245,-125.537867,30.182662,-124.89245,Selenographic,Equatorial
6,ch2_tmc_ncn_20221126T1135283004_d_img_d32.zip,2022-11-26T11:35:28.300Z,2022-11-26T11:43:21.956Z,1170968000,113.43,View,-0.362162,-125.876951,-0.368352,-125.38564,29.020398,-125.523381,29.012939,-124.948163,Selenographic,Equatorial
7,ch2_tmc_nca_20221120T0145293060_d_img_d32.zip,2022-11-20T01:45:29.306Z,2022-11-20T01:53:19.663Z,1161336000,105.45,View,-1.4792,-136.527336,-1.490116,-135.984,27.843322,-136.282783,27.831626,-135.643641,Selenographic,Equatorial
8,ch2_tmc_nca_20200714T0555291513_d_img_d18.zip,2020-07-14T05:55:29.151Z,2020-07-14T06:06:01.847Z,1562256000,103.15,View,0.816294,-136.498293,0.809897,-135.953673,30.229129,-136.263505,30.221726,-135.607686,Selenographic,Equatorial
9,ch2_tmc_ncn_20191129T0957596494_d_img_d18.zip,2019-11-29T09:57:59.649Z,2019-11-29T10:07:25.917Z,1399920000,88.66,View,-0.330177,-136.48198,-0.335747,-135.991363,29.038278,-136.242127,29.031857,-135.658341,Selenographic,Equatorial
10,ch2_tmc_nca_20200620T0405094886_d_img_d18.zip,2020-06-20T04:05:09.488Z,2020-06-20T04:15:00.715Z,1461624000,117.74,View,-1.417283,-137.598667,-1.431151,-137.045893,27.901446,-137.368772,27.886875,-136.719313,Selenographic,Equatorial
11,ch2_tmc_ncf_20221202T1529533636_d_img_n18.zip,2022-12-02T15:29:53.363Z,2022-12-02T15:37:47.130Z,1171240000,116.56,View,0.923137,-137.563899,0.918954,-137.009597,30.315511,-137.351811,30.310364,-136.684935,Selenographic,Equatorial
12,ch2_tmc_ncn_20220121T0115093063_d_img_d18.zip,2022-01-21T01:15:09.306Z,2022-01-21T01:30:14.644Z,2238160000,98.79,View,-0.251879,-137.547584,-0.256885,-137.048366,29.11408,-137.329132,29.108257,-136.735708,Selenographic,Equatorial
13,ch2_tmc_nca_20220706T0954582390_d_img_d32.zip,2022-07-06T09:54:58.239Z,2022-07-06T10:04:57.103Z,1480504000,119.98,View,-1.275703,-138.711337,-1.337148,-138.156925,27.867879,-138.448399,27.805758,-137.798516,Selenographic,Equatorial
14,ch2_tmc_nca_20211225T2323072266_d_img_d18.zip,2021-12-25T23:23:07.226Z,2021-12-25T23:42:27.409Z,2868176000,81.45,View,-0.27275,-138.611929,-0.277771,-138.108425,29.138922,-138.413073,29.133083,-137.815584,Selenographic,Equatorial
15,ch2_tmc_ncn_20220606T1317038588_d_img_d32.zip,2022-06-06T13:17:03.858Z,2022-06-06T13:46:32.305Z,4371888000,102.12,View,0.908209,-138.677261,0.857205,-138.120609,30.373384,-138.43177,30.321671,-137.763042,Selenographic,Equatorial
16,ch2_tmc_ncf_20220121T2053452840_d_img_d18.zip,2022-01-21T20:53:45.284Z,2022-01-21T21:08:51.521Z,2240384000,100.31,View,-1.450073,-139.715534,-1.460624,-139.170279,27.922149,-139.526273,27.910994,-138.887559,Selenographic,Equatorial
17,ch2_tmc_ncn_20211212T1035386438_d_img_d32.zip,2021-12-12T10:35:38.643Z,2021-12-12T10:58:21.709Z,3369736000,98.77,View,0.851513,-139.690961,0.844995,-139.144658,30.307758,-139.512074,30.300411,-138.856893,Selenographic,Equatorial
